run_length,count,claims_covered
1,382,382
2,427,854
3,314,942
4,215,860
5,110,550
6,78,468
7,69,483
8,28,224
9,28,252
10,10,100
11,6,66
12,8,96
13,3,39
14,5,70
15,2,30
16,1,16
17,1,17
18,2,36
19,3,57
23,1,23
25,1,25
27,1,27
31,1,31
32,1,32
35,1,35
36,2,72
37,3,111
38,1,38
39,1,39
50,1,50
51,1,51
52,1,52
61,1,61
65,1,65
74,1,74
84,2,168
88,1,88
92,2,184
93,1,93
95,1,95
96,1,96
97,3,291
98,4,392
99,11,1089
100,21,2100
